Provider,Model,Capability
Google,models/gemini-2.5-flash,Chat
Google,models/gemini-2.5-pro,Chat
Google,models/gemini-2.0-flash,Chat
Google,models/gemini-2.0-flash-001,Chat
Google,models/gemini-2.0-flash-lite-001,Chat
Google,models/gemini-2.0-flash-lite,Chat
Google,models/gemini-2.5-flash-preview-tts,Audio
Google,models/gemini-2.5-pro-preview-tts,Audio
Google,models/gemma-4-26b-a4b-it,Chat
Google,models/gemma-4-31b-it,Chat
Google,models/gemini-flash-latest,Chat
Google,models/gemini-flash-lite-latest,Chat
Google,models/gemini-pro-latest,Chat
Google,models/gemini-2.5-flash-lite,Chat
Google,models/gemini-2.5-flash-image,Chat
Google,models/gemini-3-pro-preview,Chat
Google,models/gemini-3-flash-preview,Chat
Google,models/gemini-3.1-pro-preview,Chat
Google,models/gemini-3.1-pro-preview-customtools,Chat
Google,models/gemini-3.1-flash-lite-preview,Chat
Google,models/gemini-3.1-flash-lite,Chat
Google,models/gemini-3-pro-image-preview,Chat
Google,models/gemini-3-pro-image,Chat
Google,models/nano-banana-pro-preview,Chat
Google,models/gemini-3.1-flash-image-preview,Chat
Google,models/gemini-3.1-flash-image,Chat
Google,models/gemini-3.1-flash-lite-image,Chat
Google,models/gemini-3.5-flash,Chat
Google,models/gemini-3.5-flash-lite,Chat
Google,models/gemini-omni-flash-preview,Chat
Google,models/gemini-3.6-flash,Chat
Google,models/lyria-3-clip-preview,Chat
Google,models/lyria-3-pro-preview,Chat
Google,models/gemini-3.1-flash-tts-preview,Audio
Google,models/gemini-robotics-er-1.5-preview,Chat
Google,models/gemini-robotics-er-1.6-preview,Chat
Google,models/gemini-2.5-computer-use-preview-10-2025,Chat
Google,models/antigravity-preview-05-2026,Chat
Google,models/deep-research-max-preview-04-2026,Chat
Google,models/deep-research-preview-04-2026,Chat
Google,models/deep-research-pro-preview-12-2025,Chat
Google,models/gemini-embedding-001,Embedding
Google,models/gemini-embedding-2-preview,Embedding
Google,models/gemini-embedding-2,Embedding
Google,models/aqa,Chat
Google,models/imagen-4.0-generate-001,Image Generation
Google,models/imagen-4.0-ultra-generate-001,Image Generation
Google,models/imagen-4.0-fast-generate-001,Image Generation
Google,models/veo-3.1-generate-preview,Video Generation
Google,models/veo-3.1-fast-generate-preview,Video Generation
Google,models/veo-3.1-lite-generate-preview,Video Generation
Google,models/gemini-2.5-flash-native-audio-latest,Audio
Google,models/gemini-2.5-flash-native-audio-preview-09-2025,Audio
Google,models/gemini-2.5-flash-native-audio-preview-12-2025,Audio
Google,models/gemini-3.1-flash-live-preview,Chat
Google,models/gemini-3.5-live-translate-preview,Chat
Groq,canopylabs/orpheus-arabic-saudi,Chat
Groq,meta-llama/llama-prompt-guard-2-22m,Safety
Groq,whisper-large-v3,Speech-to-Text
Groq,allam-2-7b,Chat
Groq,openai/gpt-oss-safeguard-20b,Safety
Groq,whisper-large-v3-turbo,Speech-to-Text
Groq,llama-3.1-8b-instant,Chat
Groq,openai/gpt-oss-20b,Chat
Groq,llama-3.3-70b-versatile,Chat
Groq,groq/compound-mini,Chat
Groq,canopylabs/orpheus-v1-english,Chat
Groq,openai/gpt-oss-120b,Chat
Groq,meta-llama/llama-prompt-guard-2-86m,Safety
Groq,qwen/qwen3.6-27b,Chat
Groq,groq/compound,Chat
Mistral,mistral-medium-2505,Chat
Mistral,mistral-medium-2508,Chat
Mistral,open-mistral-nemo,Chat
Mistral,open-mistral-nemo-2407,Chat
Mistral,mistral-tiny-2407,Chat
Mistral,mistral-tiny-latest,Chat
Mistral,codestral-2508,Chat
Mistral,codestral-latest,Chat
Mistral,mistral-code-latest,Chat
Mistral,mistral-code-fim-latest,Chat
Mistral,devstral-2512,Chat
Mistral,devstral-medium-latest,Chat
Mistral,devstral-latest,Chat
Mistral,mistral-code-agent-latest,Chat
Mistral,mistral-small-2603,Chat
Mistral,mistral-small-latest,Chat
Mistral,mistral-vibe-cli-fast,Chat
Mistral,magistral-small-latest,Chat
Mistral,magistral-medium-2509,Chat
Mistral,magistral-medium-latest,Chat
Mistral,voxtral-small-2507,Audio
Mistral,voxtral-small-latest,Audio
Mistral,labs-leanstral-1-5-1,Chat
Mistral,labs-leanstral-1-5,Chat
Mistral,mistral-large-2512,Chat
Mistral,mistral-large-latest,Chat
Mistral,ministral-3b-2512,Chat
Mistral,ministral-3b-latest,Chat
Mistral,ministral-8b-2512,Chat
Mistral,ministral-8b-latest,Chat
Mistral,ministral-14b-2512,Chat
Mistral,ministral-14b-latest,Chat
Mistral,mistral-medium-latest,Chat
Mistral,mistral-medium,Chat
Mistral,mistral-medium-3-5,Chat
Mistral,mistral-medium-3.5,Chat
Mistral,mistral-medium-3,Chat
Mistral,mistral-medium-2604,Chat
Mistral,mistral-vibe-cli-latest,Chat
Mistral,mistral-vibe-cli-with-tools,Chat
Mistral,magistral-small-2509,Chat
Mistral,mistral-small-2506,Chat
Mistral,mistral-embed-2312,Embedding
Mistral,mistral-embed,Embedding
Mistral,codestral-embed,Embedding
Mistral,codestral-embed-2505,Embedding
Mistral,mistral-moderation-2603,Moderation
Mistral,mistral-ocr-2512,OCR
Mistral,mistral-ocr-3-0,OCR
Mistral,mistral-ocr-3,OCR
Mistral,mistral-ocr-latest,OCR
Mistral,mistral-ocr-4-0,OCR
Mistral,mistral-ocr-4,OCR
Mistral,voxtral-mini-2602,Audio
Mistral,voxtral-mini-latest,Audio
Mistral,voxtral-mini-transcribe-realtime-2602,Speech-to-Text
Mistral,voxtral-mini-realtime-2602,Audio
Mistral,voxtral-mini-realtime-latest,Audio
Mistral,voxtral-mini-tts-2603,Text-to-Speech
Mistral,voxtral-mini-tts-latest,Text-to-Speech
